FMC_nor,CO2_resp_rate,site,cond__,effect1__,estimate__,se__,lower__,upper__
0.007190062125378686,0.012173101649272329,PNW,PNW,3.1487678734408395,8.225289525782237e-4,0.0012127243584549128,3.773512088755538e-8,0.019827583955433062
0.017218445336233446,0.012173101649272329,PNW,PNW,7.540531160914501,8.07845414628731e-4,0.0011905391262481129,3.09113187425181e-8,0.019853615141009234
0.02724682854708821,0.012173101649272329,PNW,PNW,11.932294448388163,8.397600207836899e-4,0.0012358952935373237,3.9232392792628414e-8,0.02058127176734194
0.03727521175794297,0.012173101649272329,PNW,PNW,16.324057735861825,9.051971531952733e-4,0.0013312745101841904,6.061037987403375e-8,0.02079742542682961
0.04730359496879773,0.012173101649272329,PNW,PNW,20.715821023335486,9.284225410502102e-4,0.0013630572287574914,6.04452710547115e-8,0.019914012080604646
0.057331978179652486,0.012173101649272329,PNW,PNW,25.107584310809145,9.349248792889606e-4,0.0013732149102668248,7.699210556797702e-8,0.02037165175507743
0.06736036139050726,0.012173101649272329,PNW,PNW,29.499347598282814,0.0010130409997439038,0.0014810057584557694,8.021551106091884e-8,0.019773116134998384
0.07738874460136201,0.012173101649272329,PNW,PNW,33.89111088575647,0.0010215456452501858,0.0014945789080908828,1.2052064746027496e-7,0.02058677372118908
0.08741712781221678,0.012173101649272329,PNW,PNW,38.282874173230134,0.0011137509077635377,0.0016275017765123691,1.6575961388490588e-7,0.02095043135192221
0.09744551102307154,0.012173101649272329,PNW,PNW,42.6746374607038,0.0010386401705556965,0.0015145870617669706,1.0653917487092228e-7,0.020779934446459696
0.1074738942339263,0.012173101649272329,PNW,PNW,47.06640074817746,0.0011188474613670015,0.0016319670603961605,1.2194166172522115e-7,0.02081197873552082
0.11750227744478106,0.012173101649272329,PNW,PNW,51.45816403565112,0.0012120813099114783,0.0017679375602318208,2.0899240596296967e-7,0.02184036738962209
0.1275306606556358,0.012173101649272329,PNW,PNW,55.84992732312478,0.0011803298988288427,0.001721950847561409,2.4023745465231814e-7,0.021523845178928264
0.13755904386649057,0.012173101649272329,PNW,PNW,60.24169061059843,0.0012620959284906203,0.0018331529591626575,2.3527240278589868e-7,0.022097134961854684
0.14758742707734532,0.012173101649272329,PNW,PNW,64.63345389807209,0.0012707291928792394,0.001842305967336351,3.373933978788143e-7,0.022617730743617254
0.1576158102882001,0.012173101649272329,PNW,PNW,69.02521718554577,0.001354497138730218,0.001962128978333679,3.957264313949113e-7,0.022069428200325383
0.16764419349905485,0.012173101649272329,PNW,PNW,73.41698047301942,0.0014588977692073235,0.0021017913074365476,7.745740635540347e-7,0.02188386676520997
0.1776725767099096,0.012173101649272329,PNW,PNW,77.80874376049307,0.0014419780674652324,0.0020812699317332784,4.474188879208891e-7,0.0223771703892448
0.18770095992076438,0.012173101649272329,PNW,PNW,82.20050704796675,0.0014757650222876327,0.002118947930087813,7.057573576629892e-7,0.02211135547718958
0.19772934313161913,0.012173101649272329,PNW,PNW,86.5922703354404,0.0015519656534518896,0.00222698403891945,6.158309021219003e-7,0.02247802462776789
0.2077577263424739,0.012173101649272329,PNW,PNW,90.98403362291407,0.0016181816150281142,0.0023243541701925747,7.493746687982521e-7,0.02301537865982834
0.21778610955332867,0.012173101649272329,PNW,PNW,95.37579691038773,0.0017229978588244048,0.0024517382817593994,9.5714738975458e-7,0.02271134783684881
0.22781449276418342,0.012173101649272329,PNW,PNW,99.76756019786139,0.0017925587410497351,0.0025604119440321483,8.411901553115613e-7,0.02354845272545501
0.23784287597503817,0.012173101649272329,PNW,PNW,104.15932348533505,0.0017343081247129357,0.0024516763051152524,1.3570876214950507e-6,0.022779582615444143
0.24787125918589295,0.012173101649272329,PNW,PNW,108.55108677280872,0.0018647870136407226,0.0026299318468689208,1.272792280495097e-6,0.02490334946332834
0.25789964239674773,0.012173101649272329,PNW,PNW,112.9428500602824,0.0018351131536170524,0.0025874245587138383,1.4267560777580118e-6,0.02350446446812229
0.2679280256076025,0.012173101649272329,PNW,PNW,117.33461334775605,0.0019042805776716526,0.002670859098188171,1.4269365254140448e-6,0.024131772634605194
0.27795640881845723,0.012173101649272329,PNW,PNW,121.72637663522971,0.0019393993096485716,0.002709861947595096,2.132448928255808e-6,0.02408855682910023
0.287984792029312,0.012173101649272329,PNW,PNW,126.11813992270336,0.0020260852002721235,0.0028098953330959494,2.3243473144661746e-6,0.023848337931547278
0.2980131752401668,0.012173101649272329,PNW,PNW,130.50990321017704,0.002166315982435135,0.0029802251126506696,3.1942590629452494e-6,0.024692804321495745
0.30804155845102155,0.012173101649272329,PNW,PNW,134.9016664976507,0.0021425405056912077,0.0029583648055987823,3.4884359384742796e-6,0.024592970052322256
0.3180699416618763,0.012173101649272329,PNW,PNW,139.29342978512437,0.002208268106806653,0.0030447663025851314,3.4265619384015463e-6,0.02543290971497455
0.32809832487273105,0.012173101649272329,PNW,PNW,143.68519307259803,0.0022610190668372193,0.0031000004098988153,3.894885812504074e-6,0.02399296497194677
0.3381267080835858,0.012173101649272329,PNW,PNW,148.07695636007168,0.002369785620790884,0.0032249267699690416,3.881014089616407e-6,0.024837350996950915
0.34815509129444056,0.012173101649272329,PNW,PNW,152.46871964754533,0.0024717798837600342,0.003343062494249821,4.4883242264077476e-6,0.026221786835196707
0.3581834745052953,0.012173101649272329,PNW,PNW,156.86048293501898,0.0025821382226685436,0.0034775930726048333,6.539245128580907e-6,0.026669667346482698
0.3682118577161501,0.012173101649272329,PNW,PNW,161.2522462224927,0.0025559576834431413,0.0034811660762586643,5.815660659560191e-6,0.026349949342716863
