FMC_nor,CO2_resp_rate,T_nor,site,cond__,effect1__,estimate__,se__,lower__,upper__
0.007190062125378686,0.012173101649272329,0.5886961170874608,PNW,PNW,3.1487678734408395,0.0011284498184833953,0.0016474358188467556,1.5330132844853648e-7,0.01982668434920679
0.017218445336233446,0.012173101649272329,0.5886961170874608,PNW,PNW,7.540531160914501,0.0011908048805188733,0.0017294760338849497,1.9090413644218986e-7,0.019297916745625143
0.02724682854708821,0.012173101649272329,0.5886961170874608,PNW,PNW,11.932294448388163,0.001197498282797211,0.0017352032009647497,2.7568309047721744e-7,0.019228495066417203
0.03727521175794297,0.012173101649272329,0.5886961170874608,PNW,PNW,16.324057735861825,0.0012829132364560124,0.0018642537815601863,3.284288218598983e-7,0.01863198135746941
0.04730359496879773,0.012173101649272329,0.5886961170874608,PNW,PNW,20.715821023335486,0.0012302905640273138,0.0017862461686529796,4.5855499356330263e-7,0.02107274825413178
0.057331978179652486,0.012173101649272329,0.5886961170874608,PNW,PNW,25.107584310809145,0.001360337240676909,0.0019601748765326527,4.618446401229404e-7,0.02085368303560347
0.06736036139050726,0.012173101649272329,0.5886961170874608,PNW,PNW,29.499347598282814,0.0013955123024407673,0.0020124280730242556,4.290628985997013e-7,0.021157126026274432
0.07738874460136201,0.012173101649272329,0.5886961170874608,PNW,PNW,33.89111088575647,0.0013893618172659146,0.0020053161554360105,4.6217043930353814e-7,0.0209019912715106
0.08741712781221678,0.012173101649272329,0.5886961170874608,PNW,PNW,38.282874173230134,0.0015052477592380326,0.002149616619471275,5.395725521649167e-7,0.021874161331328117
0.09744551102307154,0.012173101649272329,0.5886961170874608,PNW,PNW,42.6746374607038,0.0016652705809595517,0.0023627347692763193,1.058303662054745e-6,0.022221455169237226
0.1074738942339263,0.012173101649272329,0.5886961170874608,PNW,PNW,47.06640074817746,0.00161672205804718,0.002299688448973111,9.79925067824271e-7,0.02149756660840065
0.11750227744478106,0.012173101649272329,0.5886961170874608,PNW,PNW,51.45816403565112,0.0016608386814069515,0.002359466837280732,1.5507387392653069e-6,0.022082305783220065
0.1275306606556358,0.012173101649272329,0.5886961170874608,PNW,PNW,55.84992732312478,0.0018293007837490607,0.002569515232337659,1.5337146767655299e-6,0.021925606356808538
0.13755904386649057,0.012173101649272329,0.5886961170874608,PNW,PNW,60.24169061059843,0.0017513015854439722,0.0024507229895926763,1.596567998611629e-6,0.021405042259268058
0.14758742707734532,0.012173101649272329,0.5886961170874608,PNW,PNW,64.63345389807209,0.0018854662006070571,0.0026496585982073127,1.916968265826722e-6,0.023167677964370213
0.1576158102882001,0.012173101649272329,0.5886961170874608,PNW,PNW,69.02521718554577,0.002025818403199325,0.0028126532783053068,2.7203510199195353e-6,0.023149288622310287
0.16764419349905485,0.012173101649272329,0.5886961170874608,PNW,PNW,73.41698047301942,0.0019757348851246123,0.002736278383290735,2.14733171235615e-6,0.023022969197199084
0.1776725767099096,0.012173101649272329,0.5886961170874608,PNW,PNW,77.80874376049307,0.0021273401905190685,0.002935798146705464,3.567490113453205e-6,0.022743819263886415
0.18770095992076438,0.012173101649272329,0.5886961170874608,PNW,PNW,82.20050704796675,0.002248730634466686,0.003053440017638979,3.657804669944167e-6,0.024513168590136376
0.19772934313161913,0.012173101649272329,0.5886961170874608,PNW,PNW,86.5922703354404,0.0023741444501738157,0.003201688428931606,3.908433406626734e-6,0.02357166207772154
0.2077577263424739,0.012173101649272329,0.5886961170874608,PNW,PNW,90.98403362291407,0.002334434881537292,0.003158859046338128,5.6027640294751616e-6,0.02400712825955393
0.21778610955332867,0.012173101649272329,0.5886961170874608,PNW,PNW,95.37579691038773,0.002450294275747016,0.0032896368466186444,4.927340809192229e-6,0.02332040476967942
0.22781449276418342,0.012173101649272329,0.5886961170874608,PNW,PNW,99.76756019786139,0.0024603258331094163,0.003280409695502729,5.050347043773301e-6,0.024732683161527748
0.23784287597503817,0.012173101649272329,0.5886961170874608,PNW,PNW,104.15932348533505,0.002559780277727853,0.00341366318326973,8.482413536608273e-6,0.024061009302782325
0.24787125918589295,0.012173101649272329,0.5886961170874608,PNW,PNW,108.55108677280872,0.002592384966833002,0.003432844647695203,9.930040148716543e-6,0.025811525888027216
0.25789964239674773,0.012173101649272329,0.5886961170874608,PNW,PNW,112.9428500602824,0.0028974599398854895,0.003814806355471063,9.920851188528436e-6,0.025974630007475026
0.2679280256076025,0.012173101649272329,0.5886961170874608,PNW,PNW,117.33461334775605,0.002867008768894984,0.0037655179131462595,1.0891685598153363e-5,0.026182546665676307
0.27795640881845723,0.012173101649272329,0.5886961170874608,PNW,PNW,121.72637663522971,0.0028852703354330794,0.0037265980542980767,9.97880007547674e-6,0.025470446148290946
0.287984792029312,0.012173101649272329,0.5886961170874608,PNW,PNW,126.11813992270336,0.0029764357899643053,0.003799472793454856,1.2998521079824424e-5,0.02574256625185011
0.2980131752401668,0.012173101649272329,0.5886961170874608,PNW,PNW,130.50990321017704,0.003170492609817093,0.004043521526432315,1.6590478295720838e-5,0.027071011897929168
0.30804155845102155,0.012173101649272329,0.5886961170874608,PNW,PNW,134.9016664976507,0.003210711291934699,0.004126699745235826,2.0211176124944934e-5,0.026895589069727433
0.3180699416618763,0.012173101649272329,0.5886961170874608,PNW,PNW,139.29342978512437,0.0031966832763637085,0.004111947791883595,1.789708352123742e-5,0.027547593231078915
0.32809832487273105,0.012173101649272329,0.5886961170874608,PNW,PNW,143.68519307259803,0.003347549339992841,0.00423007400759182,2.071879326142711e-5,0.027683255964303707
