FMC_nor,T_nor,CO2_resp_rate,site,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.007190062125378686,0.8667002709789271,0.012173101649272329,PNW,PNW,3.1487678734408395,18.591905619000045,0.001448752029097308,0.002085954352377909,3.2342139402149907e-7,0.02193650881070664
0.007190062125378686,0.8842277346330214,0.012173101649272329,PNW,PNW,3.1487678734408395,21.94526085600006,0.0011060588464640682,0.001610946202953161,1.463241649721645e-7,0.01989278305411274
0.007190062125378686,0.9017551982871157,0.012173101649272329,PNW,PNW,3.1487678734408395,28.651971330000038,7.787173179113203e-4,0.0011460844196284259,5.276870612148727e-8,0.018171672795116608
0.017218445336233446,0.8667002709789271,0.012173101649272329,PNW,PNW,7.540531160914501,18.591905619000045,0.0015137275248674358,0.002169953542907306,3.6709382938456456e-7,0.021007423181261538
0.017218445336233446,0.8842277346330214,0.012173101649272329,PNW,PNW,7.540531160914501,21.94526085600006,0.0011811994918449922,0.0017118884146681706,2.475480014206234e-7,0.02074817461784786
0.017218445336233446,0.9017551982871157,0.012173101649272329,PNW,PNW,7.540531160914501,28.651971330000038,8.738962016246255e-4,0.0012816142265548198,7.369546062856325e-8,0.018371473685313278
0.02724682854708821,0.8667002709789271,0.012173101649272329,PNW,PNW,11.932294448388163,18.591905619000045,0.0014253448133293139,0.002049526969359174,5.415116453819553e-7,0.02144905739120591
0.02724682854708821,0.8842277346330214,0.012173101649272329,PNW,PNW,11.932294448388163,21.94526085600006,0.0012191575949203055,0.0017729549126818966,2.1680470425893615e-7,0.020263035378423506
0.02724682854708821,0.9017551982871157,0.012173101649272329,PNW,PNW,11.932294448388163,28.651971330000038,8.829188932033025e-4,0.0012946678468200715,8.589859910137363e-8,0.01835533514073409
0.03727521175794297,0.8667002709789271,0.012173101649272329,PNW,PNW,16.324057735861825,18.591905619000045,0.0015576914045452865,0.0022355009615155903,6.265431865476688e-7,0.022486333356363877
0.03727521175794297,0.8842277346330214,0.012173101649272329,PNW,PNW,16.324057735861825,21.94526085600006,0.0012701287448341999,0.00184035632152503,3.2045021447771956e-7,0.020709530407117833
0.03727521175794297,0.9017551982871157,0.012173101649272329,PNW,PNW,16.324057735861825,28.651971330000038,0.001031199730835364,0.00150707294602588,1.0235195890254003e-7,0.019101525121082746
0.04730359496879773,0.8667002709789271,0.012173101649272329,PNW,PNW,20.715821023335486,18.591905619000045,0.0015885900055760864,0.0022520116472078628,7.147562331289578e-7,0.021609019743750145
0.04730359496879773,0.8842277346330214,0.012173101649272329,PNW,PNW,20.715821023335486,21.94526085600006,0.0012500006467905216,0.0018084684738317593,4.2582625236850264e-7,0.02045590009291362
0.04730359496879773,0.9017551982871157,0.012173101649272329,PNW,PNW,20.715821023335486,28.651971330000038,0.0010509176342632645,0.0015315445893716766,1.8847052108710657e-7,0.01945417917151449
0.057331978179652486,0.8667002709789271,0.012173101649272329,PNW,PNW,25.107584310809145,18.591905619000045,0.0015811861806486875,0.002250601391098242,7.229212400574745e-7,0.021930980503164093
0.057331978179652486,0.8842277346330214,0.012173101649272329,PNW,PNW,25.107584310809145,21.94526085600006,0.0012953504703397032,0.0018702089951418833,4.5411072319678233e-7,0.021263236480078357
0.057331978179652486,0.9017551982871157,0.012173101649272329,PNW,PNW,25.107584310809145,28.651971330000038,0.001139644442932949,0.0016575392331312667,2.0731884187490593e-7,0.019547872154957575
0.06736036139050726,0.8667002709789271,0.012173101649272329,PNW,PNW,29.499347598282814,18.591905619000045,0.0016486718898449859,0.002357551082802677,8.521574909008633e-7,0.022218431884503065
0.06736036139050726,0.8842277346330214,0.012173101649272329,PNW,PNW,29.499347598282814,21.94526085600006,0.001400396435623601,0.0020129012492024374,6.995464527221305e-7,0.020965230084194084
0.06736036139050726,0.9017551982871157,0.012173101649272329,PNW,PNW,29.499347598282814,28.651971330000038,0.001278371428337152,0.0018510340861577234,2.90135246435106e-7,0.020268911373133757
0.07738874460136201,0.8667002709789271,0.012173101649272329,PNW,PNW,33.89111088575647,18.591905619000045,0.0016333049195135976,0.0023365646321038434,6.29537473883997e-7,0.02194056993182099
0.07738874460136201,0.8842277346330214,0.012173101649272329,PNW,PNW,33.89111088575647,21.94526085600006,0.0015013696131765946,0.002141341784524166,7.488159706181342e-7,0.021999400476705358
0.07738874460136201,0.9017551982871157,0.012173101649272329,PNW,PNW,33.89111088575647,28.651971330000038,0.001257623557234136,0.0018094149700540877,2.9402905223970873e-7,0.020438637396128084
0.08741712781221678,0.8667002709789271,0.012173101649272329,PNW,PNW,38.282874173230134,18.591905619000045,0.0016760348039210069,0.002390722839483815,9.273422395893727e-7,0.022289543873673535
0.08741712781221678,0.8842277346330214,0.012173101649272329,PNW,PNW,38.282874173230134,21.94526085600006,0.0014648133364279837,0.0020949057408086243,8.839055909723717e-7,0.021618110753026085
0.08741712781221678,0.9017551982871157,0.012173101649272329,PNW,PNW,38.282874173230134,28.651971330000038,0.0014006497313309033,0.002009182784255725,5.144661208214806e-7,0.020698283864958675
0.09744551102307154,0.8667002709789271,0.012173101649272329,PNW,PNW,42.6746374607038,18.591905619000045,0.0018094215495473,0.0025590227846459934,9.152479532474706e-7,0.02302300181200644
0.09744551102307154,0.8842277346330214,0.012173101649272329,PNW,PNW,42.6746374607038,21.94526085600006,0.0016235829800210816,0.0023146785521635546,6.564433519136108e-7,0.021456542822555685
0.09744551102307154,0.9017551982871157,0.012173101649272329,PNW,PNW,42.6746374607038,28.651971330000038,0.0014976399474833277,0.0021355679002397314,6.148522791950422e-7,0.020046721507333557
