site,svf_ws,svf_pine,sd_svf_pine
DRO,0.0807772279436466,0.10106768208826741,0.010956750837775307
MLES,0.2703304122574956,0.19401973366507097,0.02402573054707229
MLRF,0.8121656214569161,0.08948055109389434,0.003889274810774288
PNW,0.9999949137369791,0.9045954386393229,0.11329774195638245
STCK,0.8756833559040901,0.6507405865509784,0.03990875275964762
