Time, Rain(mm), Latitude, -16.101, Longitude, 145.444,
CCS_1h2018060805, 0.000
CCS_1h2018060806, 0.000
CCS_1h2018060807, 0.000
CCS_1h2018060808, 0.000
CCS_1h2018060809, 0.000
CCS_1h2018060810, 0.000
CCS_1h2018060811, 0.000
CCS_1h2018060812, 0.000
CCS_1h2018060813, 0.000
CCS_1h2018060814, 0.000
CCS_1h2018060815, 0.000
CCS_1h2018060816, 0.000
CCS_1h2018060817, 0.000
CCS_1h2018060818, 0.000
CCS_1h2018060819, 0.000
CCS_1h2018060820, 0.000
CCS_1h2018060821, 0.000
CCS_1h2018060822, 0.000
CCS_1h2018060823, 0.000
CCS_1h2018060900, 0.000
CCS_1h2018060901, 0.000
CCS_1h2018060902, 0.000
CCS_1h2018060903, 0.000
CCS_1h2018060904, 0.000
CCS_1h2018060905, 0.000
CCS_1h2018060906, 0.000
CCS_1h2018060907, 0.000
CCS_1h2018060908, 0.000
CCS_1h2018060909, 0.000
CCS_1h2018060910, 0.000
CCS_1h2018060911, 0.000
CCS_1h2018060912, 0.000
CCS_1h2018060913, 0.000
CCS_1h2018060914, 0.000
CCS_1h2018060915, 0.000
CCS_1h2018060916, 0.000
CCS_1h2018060917, 0.000
CCS_1h2018060918, 0.000
CCS_1h2018060919, 0.000
CCS_1h2018060920, 0.000
CCS_1h2018060921, 0.000
CCS_1h2018060922, 0.000
CCS_1h2018060923, 0.000
CCS_1h2018061000, 0.000
CCS_1h2018061001, 0.000
CCS_1h2018061002, 0.000
CCS_1h2018061003, 0.000
CCS_1h2018061004, 0.000
CCS_1h2018061005, 0.000
CCS_1h2018061006, 0.000
CCS_1h2018061007, 0.000
CCS_1h2018061008, 0.000
CCS_1h2018061009, 0.000
CCS_1h2018061010, 0.000
CCS_1h2018061011, 0.000
CCS_1h2018061012, 0.000
CCS_1h2018061013, 0.000
CCS_1h2018061014, 0.000
CCS_1h2018061015, 0.000
CCS_1h2018061016, 0.000
CCS_1h2018061017, 0.000
CCS_1h2018061018, 0.000
CCS_1h2018061019, 0.000
CCS_1h2018061020, 0.000
CCS_1h2018061021, 0.000
CCS_1h2018061022, 0.000
CCS_1h2018061023, 0.000
CCS_1h2018061100, 0.000
CCS_1h2018061101, 0.000
CCS_1h2018061102, 0.000
CCS_1h2018061103, 0.000
CCS_1h2018061104, 0.000
