site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC,CO2_resp_outlier,CH4_resp_outlier,Dataset
DRO,51,NA,PIRA,D,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.3,5,0.4,194.3,NA,NA,NA,NA,NA,NA,83.69,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.D,NA,166.3541,83.69,82.66409999999999,0.49691651723642516,50.3083482763575,NA,83.69,1,83.69,0.616514625003001,1.7650515775330147e-257,0.9990484957379215,-1.758629130965361e-6,0.2657527719375824,0.00144956151591491,21.385847953216373,1006.7553522422654,21.6822292984564,0.06597992103638622,-6.85955063406249e-8,132.16632811566498,No,nonsignificant fit,Pine
DRO,52,NA,PIRA,D,TE,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.17,5,0.414,429.17,NA,NA,NA,NA,NA,NA,160.09,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.D,NA,168.5571,160.09,8.467099999999988,0.05023282911250839,94.9767170887492,NA,160.09,1,160.09,0.08619926128590873,4.1752507541192706e-224,0.9976375378239751,1.742383660928426e-6,0.3180251093051926,1.746021463810976e-5,21.223157894736843,1006.7553522422654,21.6822292984564,0.004811611438434934,3.5447351344735503e-8,168.0804547442064,No,nonsignificant fit,Pine
DRO,67,NA,PIRA,E,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.55,5,0.424,432.55,NA,NA,NA,NA,NA,NA,157.45,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.E,NA,165.1497,157.45,7.699700000000007,0.04662254911755823,95.3377450882442,NA,157.45,1,157.45,0.04969360573115413,5.158461402444975e-185,0.9931454528504433,-2.3094103247158577e-6,0.17803042589003068,0.00485389803380798,21.449005847953217,1006.7553522422654,21.6822292984564,0.002812514421772175,-4.763743251735017e-8,174.7221340107971,No,nonsignificant fit,Pine
DRO,68,NA,PIRA,E,TE,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.03,5,0.415,425.03,NA,NA,NA,NA,NA,NA,164.55,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.E,NA,169.6044,164.55,5.054399999999987,0.029801113650353334,97.0198886349647,NA,164.55,1,164.55,0.06454778457772369,1.4560433732302457e-171,0.9901110454224492,-2.5325605395168517e-6,0.10542783212249322,0.009611250610593203,21.522514619883044,1006.7553522422654,21.6822292984564,0.0035011055098956778,-5.0065284582750015e-8,158.29838954725005,No,nonsignificant fit,Pine
MLRF,83,NA,PIRA,K,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.14,5,0.405,471.14,NA,NA,NA,NA,NA,NA,159.4,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.K,NA,170.7332,159.4,11.333200000000005,0.06637959108128944,93.362040891871,NA,159.4,1,159.4,0.10314624499003977,5.802592356808923e-212,0.9967109843183573,3.5666546667608285e-6,0.014924853814167761,0.028840832405801153,18.12982456140351,906.3333333333331,16.661,0.005270595660337469,6.642328270461016e-8,195.57089084065245,No,No,Pine
MLRF,84,NA,PIRA,K,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.86,5,0.41,499.86,NA,NA,NA,NA,NA,NA,187.96,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.K,NA,192.944,187.96,4.9839999999999804,0.025831329297619936,97.416867070238,NA,187.96,1,187.96,0.10283348213214337,5.2429080822557346e-241,0.9985094246681182,1.6791129670948631e-06,0.3531001414151719,-7.826410013684892e-4,17.742573099415203,906,16.7185,0.004455968678066671,2.6517983635195213e-8,165.93956160885293,No,nonsignificant fit,Pine
MLRF,99,NA,PIRA,L,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.14,5,0.411,473.14,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.L,NA,170.9579,163,7.957899999999995,0.04654888718216588,95.3451112817834,NA,163,1,163,0.08537075167398533,8.997444705271291e-160,0.9863642628560144,5.071044231646361e-6,0.008577302287901422,0.03449249305970836,17.688713450292397,906.3333333333331,16.661,0.00426723664001821,9.238213952711631e-8,190.26993865030676,No,No,Pine
MLRF,100,NA,PIRA,L,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.41,5,0.417,464.41,NA,NA,NA,NA,NA,NA,162.58,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.L,NA,174.0541,162.58,11.474099999999993,0.06592260682167207,93.4077393178328,NA,162.58,1,162.58,0.12086649674802538,3.5309530036875332e-183,0.9927939337562011,2.3453044375650033e-6,0.3574239643937007,-8.738765457396713e-4,18.830000000000002,906.3333333333331,16.661,0.006026080829736961,4.261683949555763e-8,185.65014146881535,No,nonsignificant fit,Pine
MLRF,115,NA,PIRA,M,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.31,5,0.413,484.31,NA,NA,NA,NA,NA,NA,185.58,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.M,NA,193.6587,185.58,8.078699999999998,0.041716173866704655,95.8283826133295,NA,185.58,1,185.58,0.10161783233734112,4.054452578970117e-180,0.992167324205109,4.7683824129408425e-5,2.416185842749012e-53,0.7525358315053159,19.088830409356724,906.3333333333331,16.661,0.004438153114665985,7.590256065612607e-7,160.97100980709126,No,No,Pine
MLRF,116,NA,PIRA,M,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.71,5,0.411,500.71,NA,NA,NA,NA,NA,NA,226.04,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.M,NA,234.06,226.04,8.02000000000001,0.03426471844826117,96.5735281551739,NA,226.04,1,226.04,0.09653077951376327,1.2966010077956938e-214,0.9969401796790173,8.208006335950251e-6,6.989208606939659e-7,0.13081201680084142,17.778654970760236,906.3333333333331,16.661,0.003478335400650551,1.077944303869978e-7,121.51389134666431,No,No,Pine
