site,SampleID,Species.Code,Etime,CO2d_ppm,CH4d_ppm,CO2_resp_outlier,CH4_resp_outlier
DRO,523,CASU,78,468.6303,1.746747,nonsignificant fit,nonsignificant fit
DRO,523,CASU,79,468.3055,1.744582,nonsignificant fit,nonsignificant fit
DRO,523,CASU,80,468.1416,1.745802,nonsignificant fit,nonsignificant fit
DRO,523,CASU,81,468.5703,1.750076,nonsignificant fit,nonsignificant fit
DRO,523,CASU,82,468.2459,1.746419,nonsignificant fit,nonsignificant fit
DRO,523,CASU,83,468.5709,1.746882,nonsignificant fit,nonsignificant fit
DRO,523,CASU,84,468.6026,1.746306,nonsignificant fit,nonsignificant fit
DRO,523,CASU,85,468.425,1.747494,nonsignificant fit,nonsignificant fit
DRO,523,CASU,86,468.4999,1.748081,nonsignificant fit,nonsignificant fit
DRO,523,CASU,87,468.34,1.746814,nonsignificant fit,nonsignificant fit
DRO,523,CASU,88,468.2768,1.745554,nonsignificant fit,nonsignificant fit
DRO,523,CASU,89,468.3359,1.746053,nonsignificant fit,nonsignificant fit
DRO,523,CASU,90,468.1877,1.747798,nonsignificant fit,nonsignificant fit
DRO,523,CASU,91,468.3145,1.746161,nonsignificant fit,nonsignificant fit
DRO,523,CASU,92,468.3466,1.74651,nonsignificant fit,nonsignificant fit
DRO,523,CASU,93,468.6171,1.743252,nonsignificant fit,nonsignificant fit
DRO,523,CASU,94,468.7365,1.746396,nonsignificant fit,nonsignificant fit
DRO,523,CASU,95,468.5845,1.746561,nonsignificant fit,nonsignificant fit
DRO,523,CASU,96,469.047,1.74631,nonsignificant fit,nonsignificant fit
DRO,523,CASU,97,467.9859,1.745937,nonsignificant fit,nonsignificant fit
DRO,523,CASU,98,468.617,1.746258,nonsignificant fit,nonsignificant fit
DRO,523,CASU,99,468.3533,1.746117,nonsignificant fit,nonsignificant fit
DRO,523,CASU,100,468.5637,1.747908,nonsignificant fit,nonsignificant fit
DRO,523,CASU,101,468.8435,1.748221,nonsignificant fit,nonsignificant fit
DRO,523,CASU,102,468.477,1.747894,nonsignificant fit,nonsignificant fit
DRO,523,CASU,103,468.7885,1.745012,nonsignificant fit,nonsignificant fit
DRO,523,CASU,104,468.472,1.746943,nonsignificant fit,nonsignificant fit
DRO,523,CASU,105,468.5017,1.746025,nonsignificant fit,nonsignificant fit
DRO,523,CASU,106,468.527,1.74703,nonsignificant fit,nonsignificant fit
DRO,523,CASU,107,468.446,1.748058,nonsignificant fit,nonsignificant fit
DRO,523,CASU,108,468.8276,1.746916,nonsignificant fit,nonsignificant fit
DRO,523,CASU,109,468.2284,1.748382,nonsignificant fit,nonsignificant fit
DRO,523,CASU,110,468.7948,1.748267,nonsignificant fit,nonsignificant fit
DRO,523,CASU,111,468.383,1.745703,nonsignificant fit,nonsignificant fit
DRO,523,CASU,112,468.3993,1.746584,nonsignificant fit,nonsignificant fit
DRO,523,CASU,113,468.5522,1.746505,nonsignificant fit,nonsignificant fit
DRO,523,CASU,114,468.4565,1.746529,nonsignificant fit,nonsignificant fit
DRO,523,CASU,115,468.5313,1.746952,nonsignificant fit,nonsignificant fit
DRO,523,CASU,116,468.6326,1.746766,nonsignificant fit,nonsignificant fit
DRO,523,CASU,117,468.1909,1.747471,nonsignificant fit,nonsignificant fit
DRO,523,CASU,118,468.7445,1.746695,nonsignificant fit,nonsignificant fit
DRO,523,CASU,119,468.5187,1.746448,nonsignificant fit,nonsignificant fit
DRO,523,CASU,120,468.3205,1.745035,nonsignificant fit,nonsignificant fit
DRO,523,CASU,121,468.4261,1.74669,nonsignificant fit,nonsignificant fit
DRO,523,CASU,122,468.5747,1.747377,nonsignificant fit,nonsignificant fit
DRO,523,CASU,123,468.5037,1.748695,nonsignificant fit,nonsignificant fit
DRO,523,CASU,124,468.0864,1.747555,nonsignificant fit,nonsignificant fit
DRO,523,CASU,125,468.4161,1.74905,nonsignificant fit,nonsignificant fit
DRO,523,CASU,126,468.6456,1.747445,nonsignificant fit,nonsignificant fit
DRO,523,CASU,127,468.0768,1.745258,nonsignificant fit,nonsignificant fit
DRO,523,CASU,128,468.3343,1.747708,nonsignificant fit,nonsignificant fit
DRO,523,CASU,129,468.4949,1.746696,nonsignificant fit,nonsignificant fit
DRO,523,CASU,130,468.1965,1.746234,nonsignificant fit,nonsignificant fit
DRO,523,CASU,131,468.7012,1.748822,nonsignificant fit,nonsignificant fit
DRO,523,CASU,132,468.3937,1.74758,nonsignificant fit,nonsignificant fit
DRO,523,CASU,133,468.4352,1.745714,nonsignificant fit,nonsignificant fit
DRO,523,CASU,134,467.9493,1.747453,nonsignificant fit,nonsignificant fit
DRO,523,CASU,135,468.3398,1.747354,nonsignificant fit,nonsignificant fit
DRO,523,CASU,136,468.5624,1.747307,nonsignificant fit,nonsignificant fit
DRO,523,CASU,137,468.2365,1.747689,nonsignificant fit,nonsignificant fit
DRO,523,CASU,138,468.2022,1.746554,nonsignificant fit,nonsignificant fit
DRO,523,CASU,139,468.3154,1.745586,nonsignificant fit,nonsignificant fit
DRO,523,CASU,140,468.5188,1.746208,nonsignificant fit,nonsignificant fit
DRO,523,CASU,141,468.6052,1.746723,nonsignificant fit,nonsignificant fit
DRO,523,CASU,142,468.1149,1.7463089999999999,nonsignificant fit,nonsignificant fit
DRO,523,CASU,143,468.3559,1.745843,nonsignificant fit,nonsignificant fit
DRO,523,CASU,144,468.5799,1.744981,nonsignificant fit,nonsignificant fit
DRO,523,CASU,145,468.4561,1.746878,nonsignificant fit,nonsignificant fit
DRO,523,CASU,146,468.2688,1.746352,nonsignificant fit,nonsignificant fit
DRO,523,CASU,147,468.6015,1.746307,nonsignificant fit,nonsignificant fit
DRO,523,CASU,148,468.4339,1.745927,nonsignificant fit,nonsignificant fit
DRO,523,CASU,149,468.8616,1.747217,nonsignificant fit,nonsignificant fit
DRO,523,CASU,150,468.5036,1.746092,nonsignificant fit,nonsignificant fit
DRO,523,CASU,151,468.9698,1.74682,nonsignificant fit,nonsignificant fit
DRO,523,CASU,152,468.2037,1.747424,nonsignificant fit,nonsignificant fit
DRO,523,CASU,153,468.541,1.746488,nonsignificant fit,nonsignificant fit
DRO,523,CASU,154,468.5129,1.743618,nonsignificant fit,nonsignificant fit
DRO,523,CASU,155,468.3725,1.745815,nonsignificant fit,nonsignificant fit
DRO,523,CASU,156,468.5668,1.74666,nonsignificant fit,nonsignificant fit
DRO,523,CASU,157,468.3204,1.745924,nonsignificant fit,nonsignificant fit
DRO,523,CASU,158,468.6093,1.747625,nonsignificant fit,nonsignificant fit
DRO,523,CASU,159,468.5371,1.746509,nonsignificant fit,nonsignificant fit
DRO,523,CASU,160,468.2705,1.746153,nonsignificant fit,nonsignificant fit
DRO,523,CASU,161,468.6176,1.745313,nonsignificant fit,nonsignificant fit
DRO,523,CASU,162,468.5195,1.746005,nonsignificant fit,nonsignificant fit
DRO,523,CASU,163,468.7133,1.746645,nonsignificant fit,nonsignificant fit
DRO,523,CASU,164,468.7268,1.746534,nonsignificant fit,nonsignificant fit
DRO,523,CASU,165,468.4656,1.747398,nonsignificant fit,nonsignificant fit
