site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC
MLRF,81,NA,PIRA,K,TI,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,185.71,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.K,NA,190.2104,185.71,4.500399999999985,0.023660115324924322,97.6339884675076,NA,185.71,1,185.71,0.12777429212566338,1.773281396720551e-192,0.9944068861631393,7.713538291688113e-7,0.815610724757133,-0.005592577171610991,26.213157894736842,899.3333333333333,24.335290335570264,0.00541062679869095,1.1904488252637493e-8,NA
MLRF,82,NA,PIRA,K,TE,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,156.44,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.K,NA,159.5138,156.44,3.0738000000000056,0.019269806123357387,98.0730193876643,NA,156.44,1,156.44,0.15553970696234418,8.51833433376994e-191,0.9941446438963691,5.8596323229426375e-6,0.0954720474230705,0.01054033392066478,25.909473684210525,899.5828460038986,24.388756471603898,0.007828780492140051,1.0749201429410307e-7,NA
MLRF,97,NA,PIRA,L,TI,1,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,177.29,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.L,NA,181.8406,177.29,4.550600000000003,0.025025214391065597,97.4974785608934,NA,177.29,1,177.29,0.20538094103247212,1.7569230063294232e-188,0.9937634893185437,6.056874745003362e-6,0.10964793378889912,0.00924580091185978,26.155730994152048,899.3333333333333,24.335290335570264,0.009111683037603307,9.793547913897864e-8,NA
MLRF,98,NA,PIRA,L,TE,1,2018-06-04,2018-12-13,0,0,1,0,1,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,195.03,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.L,NA,197.6381,195.03,2.6081000000000074,0.01319634220324931,98.6803657796751,NA,195.03,1,195.03,0.13561285093719236,1.5065445275738006e-219,0.9973251673805195,3.115400676794271e-6,0.3845267240657325,-0.0014130308566198124,24.831754385964913,899,22.922615918822487,0.005491443134325754,4.597826191762445e-8,NA
MLRF,113,NA,PIRA,M,TI,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,172.39,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.M,NA,176.969,172.39,4.579000000000008,0.025874588204713864,97.4125411795286,NA,172.39,1,172.39,0.0863600830393359,1.947746275986648e-197,0.995113857151318,-3.0957376341002512e-6,0.27831135586894284,0.0010748342368163133,25.798187134502925,899.3333333333333,24.335290335570264,0.003944961730048755,-5.154029327288556e-8,NA
MLRF,114,NA,PIRA,M,TE,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,187.63,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.M,NA,192.1986,187.63,4.5686000000000035,0.02377020436153023,97.622979563847,NA,187.63,1,187.63,0.1106651035591718,3.644208595394322e-212,0.9967290399908453,-4.3695202438366256e-6,0.15116919297025777,0.006308176820302158,25.45760233918129,899.0818713450292,23.269588582585097,0.004648617824269021,-6.689596137981922e-8,NA
MLRF,129,NA,PIRA,N,TI,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,181.53,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.N,NA,185.8605,181.53,4.330500000000001,0.023299732864164254,97.6700267135836,NA,181.53,1,181.53,0.09847365373077024,1.2088625929105498e-152,0.9834411867065597,7.798584011326968e-6,0.04432087338708393,0.01793893050005957,26.80842105263158,899.3333333333333,24.335290335570264,0.004257437906758321,1.228844757188359e-7,NA
MLRF,130,NA,PIRA,N,TE,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,169.03,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.N,NA,173.1192,169.03,4.089200000000005,0.02362071913456165,97.6379280865438,NA,169.03,1,169.03,0.06806367293061659,1.6313246143751834e-178,0.9918172608720449,-2.3750881992943685e-6,0.4542565672426284,-0.002579564583987004,26.385964912280702,899.3333333333333,24.335290335570264,0.0031647568736854845,-4.0249242175082593e-08,NA
MLRF,145,NA,PIRA,O,TI,1,2018-06-04,2018-12-13,0,0,0,1,1,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,163.93,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.O,NA,166.9055,163.93,2.9754999999999825,0.017827453259479063,98.2172546740521,NA,163.93,1,163.93,0.0831886070511444,5.408495243299996e-174,0.9907446373042359,1.3740202078383899e-6,0.5879562756140717,-0.004166265133328961,25.975847953216373,899.3333333333333,24.335290335570264,0.003993826623509305,2.404204860236948e-8,NA
MLRF,146,NA,PIRA,O,TE,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,162.51,NA,NA,NA,NA,NA,0,DRY,6,192,MLRF.PIRA.O,NA,166.2866,162.51,3.776600000000002,0.02271139105616449,97.7288608943836,NA,162.51,1,162.51,0.08883367461060292,2.733036086270992e-184,0.993008860796381,-5.48410252718138e-6,0.3296619659002846,-2.604696827606112e-4,26.26812865497076,899.3333333333333,24.335290335570264,0.004297908665580321,-9.670259219465266e-8,NA
PNW,209,NA,PIRA,X,TI,1,2018-06-05,2019-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.18,5,0.405,169.18,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,0,DRY,6,545,PNW.PIRA.X,NA,158.4012,155,3.4011999999999887,0.02147205955510431,97.8527940444896,NA,155,1,155,-0.00227115703074358,7.267287164739349e-10,0.1969149611246337,2.2597499219934556e-7,0.8961471249201856,-0.005815450836546221,28.33046783625731,968.1672933633448,39.857704634494155,-1.2317533096251624e-4,4.466732559658502e-9,9.148387096774197
MLES,241,NA,PIRA,F,TI,1,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,172.54,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.F,NA,175.6243,172.54,3.084300000000013,0.017561920531498278,98.2438079468502,NA,172.54,1,172.54,0.10610056951544408,1.2343674841339759e-157,0.9855465901569197,5.619079847362856e-6,0.18758771558004086,0.004395929330962778,24.008654970760237,907,26.572231569554603,0.004913193525913207,9.483406238002066e-8,NA
MLES,242,NA,PIRA,F,TE,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,183.5,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.F,NA,185.8916,183.5,2.391600000000011,0.01286556251062453,98.7134437489376,NA,183.5,1,183.5,0.0612803532771737,1.4939855931280633e-123,0.9634185461509951,1.2707869537043176e-5,1.1074328744838716e-4,0.07945281327580855,22.722105263157896,907,24.708,0.0026798192549148995,2.0253961770832402e-7,NA
MLES,257,NA,PIRA,G,TI,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,230.69,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.G,NA,233.59,230.69,2.9000000000000057,0.012414915022047201,98.7585084977953,NA,230.69,1,230.69,0.08220597931216547,2.456960189087224e-149,0.9818793664682606,1.3580267357844574e-6,0.674471666233319,-0.004864542299533925,23.8540350877193,907,26.572231569554603,0.002848633794445938,1.715120074922458e-8,NA
MLES,258,NA,PIRA,G,TE,1,2018-06-04,2018-12-13,0,0,1,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,171.44,NA,NA,NA,1,NA,0,DRY,6,192,MLES.PIRA.G,NA,173.8028,171.44,2.362799999999993,0.01359471769154463,98.6405282308455,NA,171.44,1,171.44,0.1013171901024789,2.2529400121713757e-162,0.9872973138239719,7.35226918184585e-7,0.8254697461553857,-0.0056269074266077634,23.15292397660819,907,24.708,0.00473542949590488,1.2524218411058121e-8,NA
MLES,273,NA,PIRA,H,TI,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,171.09,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.H,NA,172.7629,171.09,1.6728999999999985,0.009683213236175119,99.0316786763825,NA,171.09,1,171.09,0.10636980968152314,2.7767319292536617e-159,0.986181209173998,2.585069719442209e-6,0.5103882513955504,-0.0033339388887494437,23.70157894736842,907,26.572231569554603,0.004972545046381115,4.404388295189362e-8,NA
MLES,274,NA,PIRA,H,TE,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,168.32,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.H,NA,170.9272,168.32,2.607200000000006,0.015253277418690566,98.474672258131,NA,168.32,1,168.32,0.11606760577915366,1.2463034481180439e-163,0.9877250584319088,2.789977680177712e-6,0.3298667878934365,-2.6524552971807225e-4,22.263040935672517,907,24.708,0.005542044055021798,4.855262020030831e-8,NA
MLES,289,NA,PIRA,I,TI,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,193.88,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.I,NA,198.1313,193.88,4.251300000000015,0.02145698332368492,97.8543016676315,NA,193.88,1,193.88,0.17726753329973405,1.686411782131365e-190,0.9940971281218308,1.0607283941729807e-5,0.0024175653425954013,0.04754300328694705,23.61672514619883,907,26.572231569554603,0.007314848229089845,1.5952667305025987e-7,NA
MLES,290,NA,PIRA,I,TE,1,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,163.16,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.I,NA,165.5562,163.16,2.3961999999999932,0.014473634934843839,98.5526365065156,NA,163.16,1,163.16,0.08473998392012869,1.4187781701506563e-144,0.9793691926843642,3.0733842129249612e-6,0.3504487886194263,-7.259410968616375e-4,24.211578947368423,907,26.572231569554603,0.004146810217602765,5.481452236662743e-8,NA
MLES,305,NA,PIRA,J,TI,1,2018-06-04,2018-12-13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,186.51,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.J,NA,188.9584,186.51,2.448400000000021,0.012957349342500892,98.7042650657499,NA,186.51,1,186.51,0.11125552523579821,1.517228810410624e-160,0.9866484830016454,2.976549787602533e-6,0.3624189214773441,-9.77414843317037e-4,23.685263157894738,907,26.572231569554603,0.004771207529935249,4.6523552042370444e-8,NA
MLES,306,NA,PIRA,J,TE,1,2018-06-04,2018-12-13,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,159.52,NA,NA,NA,NA,NA,0,DRY,6,192,MLES.PIRA.J,NA,162.5522,159.52,3.032199999999989,0.018653700165239158,98.1346299834761,NA,159.52,1,159.52,0.07779506035951707,4.012405576241883e-139,0.9760656094283673,3.1650034799732855e-6,0.37936994408661084,-0.001314601392904624,23.222105263157896,907,26.572231569554603,0.00390682438221336,5.79294032369458e-8,NA
STCK,321,NA,PIRA,P,TI,1,2018-06-05,2018-12-12,1,0,1,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,170.55,NA,NA,NA,NA,NA,0,DRY,6,190,STCK.PIRA.P,NA,172.0663,170.55,1.516300000000001,0.008812300839850691,99.1187699160149,NA,170.55,1,170.55,0.17197600955192352,2.8943112256104915e-230,0.9980025469118516,7.181342549270714e-7,0.8026408840770127,-0.005544322483078901,32.73842105263158,958,36.974,0.008266766323205867,1.2581326485135508e-8,NA
STCK,322,NA,PIRA,P,TE,1,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,178.1,NA,NA,NA,NA,NA,0,DRY,6,190,STCK.PIRA.P,NA,179.4958,178.1,1.3958000000000084,0.007776226518949237,99.2223773481051,NA,178.1,1,178.1,0.1343480951352387,2.084518931191452e-213,0.9968379392035377,6.196042431661107e-6,0.08028299725222622,0.012180597108605307,32.15526315789474,958,36.74314187766165,0.006196063472166035,1.0414818922511695e-7,NA
STCK,337,NA,PIRA,Q,TI,1,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,164.64,NA,NA,NA,NA,NA,0,DRY,6,190,STCK.PIRA.Q,NA,166.6557,164.64,2.0157000000000096,0.012094995850727036,98.7905004149273,NA,164.64,1,164.64,0.25541509299925624,1.6017558197400721e-252,0.9989108616762158,-1.994218446252229e-6,0.5395283630802538,-0.003672546069574567,32.77105263157895,958,36.974,0.012716991768172467,-3.6187914672356415e-8,NA
STCK,338,NA,PIRA,Q,TE,1,2018-06-05,2018-12-12,0,0,0,1,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,191.28,NA,NA,NA,NA,NA,0,DRY,6,190,STCK.PIRA.Q,NA,193.7302,191.28,2.4501999999999953,0.012647486039863662,98.7352513960136,NA,191.28,1,191.28,0.1924306976744189,9.489142112191668e-223,0.9975485760848092,5.630136558906512e-6,0.030864582175171965,0.021523584627819115,32.85631578947368,958,36.974,0.00824436017366021,8.791328865193024e-8,NA
STCK,353,NA,PIRA,R,TI,1,2018-06-05,2018-12-12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,0.405,NA,NA,NA,NA,NA,NA,NA,168.93,NA,NA,NA,NA,NA,0,DRY,6,190,STCK.PIRA.R,NA,170.0452,168.93,1.1151999999999873,0.006558256275390233,99.344174372461,NA,168.93,1,168.93,0.2683895778433771,2.4455821640082452e-234,0.9982123849306626,3.556173950608066e-6,0.3464498532308583,-6.393156274993039e-4,32.408187134502924,958,35.25762004696271,0.013039096393912169,6.296770148219007e-8,NA
