site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,mean_ib,CO2_resp_rate,CH4_resp_rate,FMC,CO2_resp_outlier,CH4_resp_outlier,Dataset
DRO,401,261.27,DYPA,C,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,171.46655696468366,5,0.405,164.39,1,0,NA,NA,4.97,156.77,103.75,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.C,0.661797537794221,140.472366350453,108.792897237992,31.6794691124606,0.225521004134195,77.4478995865805,164.39,108.792897237992,1,108.792897237992,0.1679074466604261,5.724096660907759e-184,0.9929474310795198,3.943924448607498e-6,0.003408453488536596,0.04399152331727807,22.953040935672515,1006.4198650627692,22.148061174945635,0.013731652177920906,1.1755319002600028e-7,51.10361445783127,No,No,Native
DRO,407,308.29,DYPA,B,TI,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.44036933174232,5,0.405,202.49,1,0,NA,NA,4.25,197.39,130.94,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.B,0.663356806322509,165.752768485402,134.323119712245,31.4296487731573,0.189617639936586,81.0382360063414,202.49,134.323119712245,1,134.323119712245,0.10654718938248565,3.911990008305028e-188,0.993704131306497,3.7165790673624756e-6,0.03534137865655447,0.02017619523160985,22.01122807017544,1005.9725488234404,21.350971075175167,0.007076770237543956,8.99682907201638e-8,50.748434397433726,No,No,Native
DRO,408,323.42,DYPA,B,TE,5,2018-06-06,2021-06-08,0,0,1,1,1,0,NA,0,1,0,172.3,5,0.32,157.05,2A,5.51,0,0,8.92,144.25,78.96,2.8,0,0,T,0.537652108357073,0,WET,36,1098,DRO.DYPA.B,0.54738301559792,173.887444884845,85.9665025996534,87.9209422851912,0.505619841291107,49.4380158708893,162.56,88.76650259965339,0.9684565695617376,85.9665025996534,0.17572097655218757,1.8584734330702672e-243,0.9986057033994947,6.336810905510432e-6,7.99884620538615e-5,0.08280342215803493,26.255438596491228,1004.7815,23.438607865335847,0.018265393791007865,2.4006518103222854e-7,82.68743667679836,No,No,Native
DRO,409,335.5,DYPA,E,TI,6,2018-06-06,2021-12-07,0,0,1,1,1,NA,NA,0,4,0,159.16,5,0.32,70.75,3,31.58,0,0,1.838,64.32,29.394,13.344,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.E,0.456996268656716,180.382282353798,32.3324860074627,148.049796346335,0.820755755024507,17.9244244975493,102.33,45.6764860074627,0.7078584373189339,32.3324860074627,0.2953001811985509,6.861643478469542e-244,0.998622047757447,4.852449180406433e-6,0.008220458038215821,0.034927955462205285,27.596959064327486,1000.1948,24.569992252515,0.08087805667556683,4.843741806501795e-7,118.8201673810981,No,No,Native
DRO,411,341.33,DYPA,C,TI,6,2018-06-06,2021-12-07,1,0,1,1,1,NA,NA,0,2,0,186.02,5,0.32,121.35,2A,9.01,0,0,6.1732,113.9,76.364,5.364,NA,NA,NA,0.537652108357073,0,DRY,42,1280,DRO.DYPA.C,0.67044776119403,183.51679414552,81.3588358208955,102.157958324624,0.556668171980042,44.3331828019958,130.35999999999999,86.7228358208955,0.9381477790800336,81.3588358208955,0.2878851138790884,8.653999244006866e-275,0.9994063027895664,6.8449228406166105e-6,3.278680730116416e-4,0.06824047656084709,28.693976608187135,999.5579,25.379246362788994,0.031200580200820408,2.7037405451222554e-7,49.15405164737315,No,No,Native
DRO,412,354.74,DYPA,C,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.74242338948955,5,0.405,285.42,1,0,NA,NA,3.28,280.15,142.18,NA,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.C,0.507513831875781,190.726708918588,144.854597893985,45.8721110246028,0.24051225591159,75.948774408841,285.42,144.854597893985,1,144.854597893985,0.30381184102527325,6.546050025026327e-285,0.999549403918305,3.559646722823746e-6,0.020012487438257776,0.025870943694461745,22.564269005847954,1007.2026684815936,22.117005716513017,0.018699674405553646,7.985263327045583e-8,97.03896469264365,No,No,Native
DRO,413,387.35,DYPA,D,TI,5,2018-06-06,2021-06-08,1,0,1,1,1,0,NA,0,1,0,224.81,5,0.37,202.61,2,10.92,0,0,5.06,197.25,117.56,5.47,0,0,F,0.537652108357073,0,WET,36,1098,DRO.DYPA.D,0.595994930291508,208.259544172112,120.754532826363,87.505011345749793,0.420172874638739,57.9827125361261,213.53,126.224532826363,0.9566645256867408,120.754532826363,0.18627427052583562,3.747608109021095e-234,0.9982033324061779,6.308315933472907e-6,1.601989726547572e-4,0.07564421562373747,25.963099415204677,1005.6615,23.230401710750776,0.013672488953832048,1.6875674528686707e-7,67.78666212997547,No,No,Native
DRO,414,375.03,DYPA,D,TE,1,2018-06-06,2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.25184268976335,5,0.405,249.68,2,0.27,NA,NA,4.8,239.69,160.07,0.25,NA,NA,NA,0.537652108357073,0,WET,12,378,DRO.DYPA.D,0.667820935374859,201.635670197153,166.741531144395,34.8941390527583,0.173055387564313,82.6944612435687,249.95000000000002,166.991531144395,0.9985029180923922,166.741531144395,0.14950435212518293,8.189046512357932e-210,0.9965125769936493,5.021964624282989e-6,0.0026997699849265993,0.04640087953296268,24.57643274853801,1005.189745404616,22.003135702260092,0.007924242401269016,9.701313994562938e-8,49.74073842693808,No,No,Native
DRO,416,331.58,DYPA,A,TE,6,2018-06-06,2021-12-06,1,0,1,1,1,NA,NA,0,4,0,189.42,5,0.3,130.17,3,44.3,0,0,12.0927,78.7,26.164,10.134,NA,NA,NA,0.537652108357073,0,DRY,42,1279,DRO.DYPA.A,0.332452350698856,178.274686089038,43.2753224904701,134.999363598568,0.757254810316387,24.2745189683613,174.46999999999997,53.4093224904701,0.8102578439970246,43.2753224904701,0.23643533659730792,3.154612401334937e-240,0.9984774302157093,3.86731946144552e-6,0.045361424742235784,0.017710765304754905,28.39029239766082,996.9475,26.553843348089543,0.048288761909665655,2.878702133816289e-7,200.7949854762271,No,No,Native
DRO,422,372.86,DYPA,C,TE,2,2018-06-06,2019-12-02,0,0,1,NA,1,NA,NA,NA,NA,NA,160.45,5,0.33,168.76,2,5.07,NA,NA,4.63,162.24,127.39,4.56,NA,NA,NA,0.537652108357073,0,DRY,18,544,DRO.DYPA.C,0.785194773175542,200.468965122018,132.509469921105,67.9594952009138,0.339002574086963,66.0997425913037,173.82999999999998,137.069469921105,0.9667321978947999,132.509469921105,0.016210401756786633,1.9382729411795942e-77,0.871552653875616,4.1385532915779405e-6,0.008369651171282981,0.03474360842823232,31.704035087719298,995.2741,29.18803267662802,0.0010613426798916732,9.875597878909255e-8,27.35693539524251,No,No,Native
