site,Months,V3
DRO,6,0.0903052201500965
DRO,12,0.193085691071369
DRO,18,0.285098623116896
DRO,24,0.375429424963029
DRO,30,0.463273124181721
DRO,36,0.570884241868955
DRO,42,0.703628666791571
DRO,48,0.828139368552936
MLRF,6,0.073944481980674
MLRF,12,0.170176119515909
MLRF,18,0.24391652994522
MLRF,24,0.303663117881682
MLRF,30,0.368391921617202
MLRF,36,0.442951732575872
MLRF,42,0.516412117990193
MLRF,48,0.592343496743581
MLES,6,0.0795368019836223
MLES,12,0.169781014190384
MLES,18,0.251341950939855
MLES,24,0.323554750319692
MLES,30,0.404104814222649
MLES,36,0.482719408020492
MLES,42,0.565415977308415
MLES,48,0.650335488229184
STCK,6,0.0319266136360916
STCK,12,0.0626995650056274
STCK,18,0.0953179590003571
STCK,24,0.119745289758606
STCK,30,0.150650909165878
STCK,36,0.176798145891706
STCK,42,0.203954666263239
STCK,48,0.230533347567045
PNW,6,0.0247764891602284
PNW,12,0.0461609386084905
PNW,18,0.0716594090234045
PNW,24,0.0935600836731821
PNW,30,0.119576528557186
PNW,36,0.141490162586375
PNW,42,0.16521787469873
PNW,48,0.183427406649131
