site,SampleID,init_green_wt,Species.Code,block,termite_treatment_abbreviation,harvest,deployment_date,harvest_date,insect_present,termite_present,fungi_present,soil_present,root_present,fire_present_2021,fire_present_2019,Termite_Class,Fungi_Class,Fire_Class,Field_fresh_wt,Collar,fresh_volume,FW_Wood,Lab_As.,FW_Excess,FW_Carton,FW_Soil,Sawdust_FW,Post_drill_FW,DW_Wood,DW_Excess,DW_Carton,DW_Soil,damage_bag,init_drywt_fraction,termite.attack,season_condition,months,date_diff,station,dry.wet,init_dry_wt,harvest_dry_wt,mass.loss,pro.mass.loss,pct.mass.rem,FW_tot,DW_tot,wood_por,resp_dry_wt,deltaCO2,CO2.p,adj_r_CO2,deltaCH4,CH4.p,adj_r_CH4,mean_Tcham,mean_Pressure,CO2_resp_rate,CH4_resp_rate,CO2_resp_outlier,CH4_resp_outlier,FMC
DRO,3,NA,PIRA,A,TI,2,2018-06-11,2019-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.24,5,0.401,411.24,NA,NA,NA,NA,NA,NA,145.32,NA,NA,NA,NA,NA,0,WET,12,371,DRO.PIRA.A,NA,166.8253,145.32,21.505300000000005,0.128909104314513,87.1090895685487,NA,145.32,1,145.32,0.36650534235726134,6.172132089016477e-224,0.9976265846688759,4.1142558859534335e-6,0.022491117763993384,0.024694259508908467,20.907602339181288,1007.426326601258,0.01798327007608315,7.357540335147558e-8,No,No,182.98926507018996
MLRF,83,NA,PIRA,K,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.14,5,0.405,471.14,NA,NA,NA,NA,NA,NA,159.4,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.K,NA,170.7332,159.4,11.333200000000005,0.0663795910812895,93.362040891871,NA,159.4,1,159.4,0.10314624499003977,5.802592356808923e-212,0.9967109843183573,3.5666546667608285e-6,0.014924853814167761,0.028840832405801153,18.12982456140351,906.3333333333331,0.004186327613013396,5.275867102192018e-8,No,No,195.57089084065245
MLRF,99,NA,PIRA,L,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.14,5,0.411,473.14,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.L,NA,170.9579,163,7.957899999999995,0.0465488871821659,95.3451112817834,NA,163,1,163,0.08537075167398533,8.997444705271291e-160,0.9863642628560144,5.071044231646361e-6,0.008577302287901422,0.03449249305970836,17.688713450292397,906.3333333333331,0.0033883127992551058,7.335416621773369e-8,No,No,190.26993865030676
MLRF,115,NA,PIRA,M,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.31,5,0.413,484.31,NA,NA,NA,NA,NA,NA,185.58,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.M,NA,193.6587,185.58,8.078699999999998,0.0417161738667048,95.8283826133295,NA,185.58,1,185.58,0.10161783233734112,4.054452578970117e-180,0.992167324205109,4.7683824129408425e-5,2.416185842749012e-53,0.7525358315053159,19.088830409356724,906.3333333333331,0.0035236550435110985,6.026255376083263e-7,No,No,160.97100980709126
MLRF,116,NA,PIRA,M,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500.71,5,0.411,500.71,NA,NA,NA,NA,NA,NA,226.04,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.M,NA,234.06,226.04,8.02000000000001,0.0342647184482611,96.5735281551739,NA,226.04,1,226.04,0.09653077951376327,1.2966010077956938e-214,0.9969401796790173,8.208006335950251e-6,6.989208606939659e-7,0.13081201680084142,17.778654970760236,906.3333333333331,0.0027619017533736076,8.559198352007014e-8,No,No,121.51389134666431
MLRF,132,NA,PIRA,N,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462.26,5,0.423,462.26,NA,NA,NA,NA,NA,NA,179.94,NA,NA,NA,NA,NA,0,WET,12,381,MLRF.PIRA.N,NA,187.5397,179.94,7.599700000000013,0.0405231532310226,95.9476846768977,NA,179.94,1,179.94,0.07770381932944508,1.3215353538866857e-175,0.9911423694875936,-4.612273501814008e-6,0.007671303713287559,0.03563696353138568,18.519298245614035,906.3333333333331,0.0027771957034652787,-6.008031024440604e-8,No,No,156.8967433588974
PNW,164,NA,PIRA,U,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.91,5,0.395,167.91,NA,NA,NA,NA,NA,NA,152.52,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.U,NA,163.5013,152.52,10.981299999999976,0.0671633803523273,93.2836619647673,NA,152.52,1,152.52,0.00696681258549952,1.0167501840891025e-33,0.5782154994483873,1.8479552163583875e-5,8.356566444763652e-23,0.43305299221229565,27.443801169590643,979,3.101026494804033e-4,2.997890643795369e-7,No,No,10.090479937057426
PNW,180,NA,PIRA,V,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.31,5,0.397,186.31,NA,NA,NA,NA,NA,NA,170.15,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.V,NA,174.6373,170.15,4.487300000000005,0.0256949689442061,97.4305031055794,NA,170.15,1,170.15,0.004220294717642608,7.098363324813866e-18,0.35230895813988705,-1.1818379052963914e-5,1.0196944319882323e-10,0.21498797111868317,22.903918128654972,979,1.7088243402277534e-4,-1.7440765851855186e-7,No,No,9.4975022039377
PNW,195,NA,PIRA,W,TI,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.98,5,0.416,199.98,NA,NA,NA,NA,NA,NA,182.82,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.W,NA,192.3541,182.82,9.534099999999995,0.0495653588875932,95.0434641112407,NA,182.82,1,182.82,0.003134778361773078,5.110707306584674e-10,0.20018213251133776,-1.0259118727051852e-5,0.014318603268764121,0.029262131426849747,25.934152046783627,979,1.1637088098577555e-4,-1.388035370311723e-7,No,No,9.386281588447652
PNW,211,NA,PIRA,X,TI,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.18,5,0.407,170.18,NA,NA,NA,NA,NA,NA,154.43,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.X,NA,162.4426,154.43,8.012599999999992,0.0493257310582322,95.0674268941768,NA,154.43,1,154.43,0.00990249262005864,3.400814982871792e-46,0.699443674445899,1.3169964240287022e-5,3.731723995617254e-12,0.2445879398104287,28.12654970760234,979,4.330115258000397e-4,2.0989037340304124e-7,No,No,10.19879557080878
PNW,212,NA,PIRA,X,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.76,5,0.408,179.76,NA,NA,NA,NA,NA,NA,165.62,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.X,NA,167.8035,165.62,2.1835000000000093,0.0130122434871741,98.6987756512826,NA,165.62,1,165.62,0.008692157342740536,5.2610768136732356e-24,0.4511782164061159,4.607197542417909e-6,0.04260877977590759,0.018326781636392897,22.412865497076023,979.6666666666669,3.6141135791307815e-4,6.981746032155014e-8,No,No,8.537616229923914
PNW,228,NA,PIRA,Y,TE,2,2018-06-05,2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.75,5,0.408,246.75,NA,NA,NA,NA,NA,NA,226.01,NA,NA,NA,NA,NA,0,WET,12,381,PNW.PIRA.Y,NA,230.42,226.01,4.409999999999997,0.0191389636316291,98.0861036368371,NA,226.01,1,226.01,0.010494699402404734,1.1792999569025695e-42,0.6690908905889701,1.5335298917611334e-5,1.7407132465424987e-6,0.12170597498892588,28.113684210526316,979,3.13499456563464e-4,1.6695984380421336e-7,No,No,9.176585106853684
MLES,275,NA,PIRA,H,TI,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.21,5,0.41,375.21,NA,NA,NA,NA,NA,NA,166.15,NA,NA,NA,NA,NA,0,WET,12,381,MLES.PIRA.H,NA,171.1236,166.15,4.973600000000005,0.0290643721847834,97.0935627815217,NA,166.15,1,166.15,0.022241340149278557,3.8317744085845883e-87,0.9013789796320066,5.329061367509238e-6,0.0030294405824818323,0.04520964042284081,14.542397660818713,912,8.811789295429698e-4,7.694968895433167e-8,No,No,125.82606078844417
MLES,308,NA,PIRA,J,TE,2,2018-06-04,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.25,5,0.405,311.25,NA,NA,NA,NA,NA,NA,119.84,NA,NA,NA,NA,NA,0,WET,12,381,MLES.PIRA.J,NA,161.7152,119.84,41.87520000000001,0.25894411904385,74.105588095615,NA,119.84,1,119.84,0.32180634506923955,5.709456826178739e-196,0.9949145739973654,1.3911188710489746e-5,1.0237682445709781e-10,0.21495165576699582,14.059824561403508,912,0.017728782323722842,2.793196841540156e-7,No,No,159.7212950600801
STCK,323,NA,PIRA,P,TI,2,2018-06-05,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.56,5,0.397,246.56,NA,NA,NA,NA,NA,NA,169.2,NA,NA,NA,NA,NA,0,WET,12,380,STCK.PIRA.P,NA,175.1554,169.2,5.955399999999997,0.0340006645527342,96.5999335447266,NA,169.2,1,169.2,0.04528796145630857,1.0690247810441066e-159,0.986336417975866,4.718155854753846e-6,0.04960299851239395,0.016834064657411885,20.90105263157895,966,0.001831941147188505,6.955911108509394e-8,No,No,45.721040189125304
STCK,339,NA,PIRA,Q,TI,2,2018-06-05,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.55,5,0.41,317.55,NA,NA,NA,NA,NA,NA,217.53,NA,NA,NA,NA,NA,0,WET,12,380,STCK.PIRA.Q,NA,223.72,217.53,6.189999999999998,0.0276685142141964,97.2331485785804,NA,217.53,1,217.53,0.05424696450428456,2.411744998866213e-151,0.9828441692564962,7.282129742963514e-6,0.029910764410156047,0.02183672712573792,19.74245614035088,966,0.001707899324815989,8.355996187496578e-8,No,No,45.97986484622811
STCK,371,NA,PIRA,S,TI,2,2018-06-05,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.5,5,0.386,172.5,NA,NA,NA,NA,NA,NA,143.23,NA,NA,NA,NA,NA,0,WET,12,380,STCK.PIRA.S,NA,173.3333,143.23,30.10330000000002,0.173672918014023,82.6327081985977,NA,143.23,1,143.23,0.011106510667914052,7.359555977148595e-46,0.6966921362866294,1.3245151558787365e-4,2.0173430090601492e-113,0.9517922218095409,20.79923976608187,966,5.323974072138962e-4,2.3140259301770003e-6,No,No,20.435662919779386
STCK,387,NA,PIRA,T,TI,2,2018-06-05,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.45,5,0.403,219.45,NA,NA,NA,NA,NA,NA,153.83,NA,NA,NA,NA,NA,0,WET,12,380,STCK.PIRA.T,NA,159.4277,153.83,5.597699999999975,0.0351112134215069,96.4888786578493,NA,153.83,1,153.83,0.08183872873016955,9.221758994240285e-198,0.995156899904567,-4.51477668178668e-6,0.014283212429006287,0.029287283993268964,21.61824561403509,966,0.0036268202421413922,-7.292163963583404e-8,No,No,42.65747903529869
STCK,388,NA,PIRA,T,TE,2,2018-06-05,2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.25,5,0.395,292.25,NA,NA,NA,NA,NA,NA,166.08,NA,NA,NA,NA,NA,0,WET,12,380,STCK.PIRA.T,NA,171.8589,166.08,5.778899999999993,0.0336258407332992,96.6374159266701,NA,166.08,1,166.08,0.08569448004416004,2.0951975417019267e-193,0.9945464781416593,-5.816569467441781e-6,0.002960001624804828,0.045449343415823074,21.45619883040936,966,0.0035266814369855426,-8.724354387081172e-8,No,No,75.96941233140655
PNW,181,NA,PIRA,V,TI,3,2018-06-05,2019-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.69,5,0.42,131.69,NA,NA,NA,NA,NA,NA,127.12,NA,NA,NA,NA,NA,0,DRY,18,548,PNW.PIRA.V,NA,160.3281,127.12,33.2081,0.207125887476993,79.2874112523007,NA,127.12,1,127.12,0.005455088199293981,5.900774222400582e-26,0.47940175690567977,4.120572635421993e-6,0.01009993539001477,0.03282018606491155,38.846959064327486,972.4092952583428,2.7702217164073334e-4,7.626465714214699e-8,No,No,3.5950283196979176
